100,79.1154,47,4.87709
200,80.5293,78,3.54566
300,78.769,125,3.05902
400,76.961,172,2.57103
500,76.8871,203,2.30609
600,78.2157,250,2.09767
700,77.7217,282,1.9235
800,78.1928,328,1.79939
900,80.583,359,1.77849
1000,80.4385,422,1.68296
1100,80.4122,438,1.60541
1200,76.5811,500,1.48467
1300,77.1405,515,1.43351
1400,78.6239,578,1.41707
1500,79.2122,610,1.37993
1600,78.3422,656,1.31002
1700,78.4065,687,1.27735
1800,78.3613,782,1.24505
1900,77.9994,765,1.21344
2000,74.7591,797,1.10901
2500,77.279,1000,1.06155
3000,76.4012,1188,0.920564
3500,78.0482,1422,0.890826
4000,77.4363,1625,0.824072
4500,78.2582,1859,0.793451
5000,76.8779,2031,0.715617
5500,78.7392,2219,0.716292
6000,77.6569,2453,0.674879
6500,77.8841,2641,0.641398
7000,77.5418,2812,0.623013
7500,76.7382,3078,0.594944
8000,76.279,3219,0.57088
8500,76.9443,3422,0.555761
9000,77.4699,3594,0.544077
9500,77.3016,3859,0.523185
10000,78.8078,4094,0.526792
11000,78.1002,4422,0.499487
12000,77.8708,4891,0.478535
13000,77.6371,5234,0.452539
14000,77.021,5609,0.441202
15000,77.8563,6079,0.428792
16000,78.1403,6562,0.414341
17000,77.8363,6891,0.401451
18000,77.1725,7312,0.385486
19000,77.7268,7813,0.378029
20000,78.2692,8515,0.373036
